name,milk,crust,origin,pairings,similarities,visual,smell,taste,touch
Bleu d’Auvergne AOP,Vache,Persillée,Auvergne_Rhône-Alpes ,"Le Bleu d’Auvergne, de caractère très affirmé, alliant qualités gustatives et qualités digestives, est particulièrement apprécié en fin de repas., Il apporte aussi une note d’originalité à certains plats : soufflés, salades, viandes, pâtes, tartes salées et crêpes. A l’apéritif, il peut être servi sur<br/> des canapés (il est alors travaillé en pommade avec du beurre). Il se marie harmonieusement avec des vins rouges charpentés, Madiran, Gaillac, Cahors, mais aussi Bourgogne et Côtes−du−Rhône. Mais n’hésitez pas également à le marier avec des vins blancs tel qu’un Jurançon moelleux ou un Sauternes. Chaque année, on peut découvrir le Bleu d’Auvergne lors de la fête au mois d’Août à Riom−es−Montagnes (Cantal).","['Fourme d’Ambert AOP', 'Bleu de Gex AOP', 'Gorgonzola Cremoso AOP (à la cuillière)', 'Fourme de Montbrison AOP']"," Pâte de couleur blanc à ivoire persillée de moisissures bleu vert, de façon régulière."," Odeur assez prononcée, témoin de sa vitalité."," Gout intense, équilibré, arôme de bleu.", Pâte ferme et onctueuse.
Bleu de Bonneval,Vache,Persillée,Auvergne_Rhône-Alpes ,Le Bleu de Bonneval,"['Bleu de Gex AOP', 'Bleu de Chèvre', 'Saint-Félicien fermier', 'Saint Marcellin fermier IGP']"," Pâte de couleur brune à ivoire persillée de moisissures bleu vert, de façon régulière."," Odeur assez prononcée, témoin de sa vitalité.", Arôme de cave et Champignons avec un goût salé. Gout puissant très agréable en bouche, Pâte ferme ou onctueuse selon la durée d’affinage.
Bleu de brebis,Brebis,Persillée,Occitanie ,"Le Bleu de Brebis s’associe très bien à des viandes rouges, dans des pâtes ou dans une salade d’endives., Accompagnez-le avec un Blancs doux comme un Gaillac ou un Côtes de Montravel.","['Rocamadour AOP Fermier', 'Bleu de Chèvre', 'Bleu d’Auvergne Fermier AOP', 'Bethmale']", Croûte régulièrement veinurée, Odeur soutenue, Doux avec une saveur vigoureuse selon l’affinage, Pâte souple
Bleu de chèvre,Chèvre,Persillée,Auvergne_Rhône-Alpes,"Le Bleu de Chèvre s’accompagne très bien d’un vin blanc doux, comme un Jurançon.","['Tome des Bauges AOP', 'Chabichou du Poitou AOP', 'Sainte-Maure de Touraine AOP', 'Fourme d’Ambert AOP']", Croûte blanche, Odeur de chèvre," Saveur Caprine prononcée, accompagnée d’un goût parfumé", Texture moelleuse et tendre
Bleu de Gex,Vache,Persillée,"Auvergne_Rhône-Alpes, Bourgogne - Franche-Comté ","C’est un fromage de fin de repas. A cause de son goût léger et subtil, il doit ouvrir le plateau de fromages., Ses meilleures saisons sont l’été, l’automne et l’hiver., Ce fromage s’accommode de vins rouges de Bordeaux, de Côtes du Rhône, ainsi que de vins rouges et rosés du Jura.","['Fourme d’Ambert AOP', 'Bleu d’Auvergne Fermier AOP', 'Fourme de Montbrison AOP', 'Bleu de Chèvre']"," croûte sèche, entre le blanc et le jaune, légèrement farineuse, avec la présence de minuscules tâches rougeâtres. Pâte blanche à ivoire, avec des marbrures bleu−vert assez réparties sur tout le fromage.", Une odeur peu prononcée., Une légère saveur de noisette et de champignon., Une pâte onctueuse et très légèrement friable.
Bleu de la Chataigneraie,Vache,Persillée,Auvergne_Rhône-Alpes ,Le Bleu de la Chataigneraie se marie très bien avec un vin blanc moelleux tel qu’un Monbazillac ou un vin blanc doux du sud-ouest.,"['Saint-Félicien fermier', 'Tomme de Yenne', 'Buchette de Chèvre cendrée', 'Abondance AOP']", Pâte de couleur brune claire persillée de moisissures bleu vert., Odeur assez prononcée.," Gout parfumé aux arômes de Champignons sauvages, de crème et de sous-bois.", Pâte ferme.
Bleu de laqueuille,Vache,Persillée,Auvergne_Rhône-Alpes ,Le Bleu de Laqueuille peut s’accompagner d’un St-Estéphe rouge ou d’un blanc doux tel qu’un Gaillac.,"['Raclette Fumée', 'Saint-Félicien fermier', 'Bleu d’Auvergne Fermier AOP', 'Bleu de Gex AOP']"," Couleur crème, avec un persillage bleu-vert.", Odeur pénétrante et franche., Légèrement salée avec un goût doux et délicat., Pâte souple et onctueuse.
Bleu de Planèze,Vache,Persillée,Auvergne_Rhône-Alpes,Le Bleu de Planèze s’accompagne très bien d’un blanc moelleux d’Alsace comme un Riesling.,"['Camembert de Normandie AOP', 'Raclette Fumée', 'Bleu d’Auvergne Fermier AOP', 'Reblochon Fermier AOP entier']", Pâte ocre et persillage bleu/vert, Odeur légèrement terreuse sur un fond de champignon," Puissant goût, mais sans amertume", Onctueux et doux
Bleu des Bauges,Vache,Persillée,Auvergne_Rhône-Alpes ,"Le Bleu des Bauges, étant un fromage à pâte persillée, se consomme idéalement avec des vins doux naturels pour mieux apprécier son gras. En ce sens, les <span data-sheets-userformat='{""2"":12797,""3"":{""1"":0,""3"":1},""5"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""6"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""7"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""8"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""9"":1,""10"":1,""11"":4,""15"":""Calibri"",""16"":12}' data-sheets-value='{""1"":2,""2"":""Côtes du Rhône blanc comme un Château Sixtine""}'>Côtes du Rhône blancs comme le Château Sixtine, frais et faciles à déguster, sont à privilégier pour une expérience gustative savoureuse. </span>","['Brillat-Savarin IGP', 'Tome des Bauges AOP', 'Bleu de Chèvre', 'Saint Marcellin fermier IGP']"," Croûte grisâtre, pâte ivoire.",," Fondant et long en bouche, avec une pointe salée. Doux et fruité.",
Bleu des Causses AOP,Vache,Persillée,Occitanie ,"Le Bleu des Causses s’accorde à de nombreux vins, mais on préfère le consommer avec des vins doux naturels. Sur ce point, on peut citer le Grand Roussillon rancio ou le Maury ambré hors d’âge., Les vins liquoreux s’harmonisent aussi agréablement avec le Bleu des Causses. En guise d’exemple, on a le Côte de Bergerac moelleux, le Sauternes ou le Monbazillac.","['Herve à la Bière', 'Morbier AOP 100jours', 'Cantal AOP Entre-Deux fermier', 'Bleu de Chèvre']"," Pâte moyennement veinée de bleu ; en été, de couleur jaune ivoire et luisante ; en hiver, plus blanche et moins humide", Odeur agréable et soutenue," Du caractère, avec une saveur plus vigoureuse en hiver"," Pâte consistante, onctueuse et grasse"
Bleu du Val d’Aillon,Vache,Pressée non cuite persillée,Auvergne_Rhône-Alpes,"Le Bleu du Val d’Aillon s’accompagne très bien d’un vin blanc doux, tel qu’un Monbazillac.","['Fourme d’Ambert AOP', 'Abondance AOP', 'Brillat-Savarin IGP', 'Bleu de Chèvre']", Croûte doré, Odeur de bleu," Gout salé, puissant et persistant en bouche", Texture fondante comme du beurre
Bleu du Vercors-Sassenage,Vache,Persillée,Auvergne_Rhône-Alpes ,"Le Bleu du Vercors-Sassenage s’accorde parfaitement avec les vins doux pour préserver sa légèreté. En fonction de vos penchants, le Sauternes, le Jurançon moelleux ou le Pinot gris vendange tardive vous assurent une expérience gustative particulièrement savoureuse.","['Bleu de Gex AOP', 'Fourme de Montbrison AOP', 'Fourme d’Ambert AOP', 'Gorgonzola Cremoso AOP (à la cuillière)']", Croûte lisse et doré, légère odeur de moisissure, Gout de Bleu assez peu prononcé avec un peu d’amertume, Pâte souple et moelleuse
Bleu fermier de Haute Savoie,Vache,Persillée,Auvergne_Rhône-Alpes,Accompagnez le Bleu du Vercors avec un vin blanc sec tel qu’un Apremont ou un vin rouge léger.,"['Bleu de Gex AOP', 'Camembert de Normandie AOP', 'Bethmale', 'Pont l’Evêque AOP entier']", Croûte marron / doré, légère odeur de moisissure," Gout salé, puissant et persistant en bouche", Pâte ferme
Bonde de Neufchâtel,Vache,Molle à croûte fleurie,Normandie ,"La Bonde de Neufchâtel possède une bonne affinité avec les vins rouges. La Syrah rouge, emblème de la partie septentrionale des Côtes-du-rhône, est par exemple parfaite pour accompagner ce fromage. Ses saveurs tanniques, mais peu acides ainsi que ses notes fruitées s’accordent à merveille avec le goût lacté et doux de la Bonde. Au même titre que ce vin, Madiran et Cahors vont aussi de pair avec la Bonde.","['Neufchâtel AOP', 'Camembert de Normandie AOP', 'Brie de Meaux fermier AOP']",, Légère odeur de moisissure., Pâte lisse et moelleuse., Pâte molle à croûte fleurie.
Bouquetou du Vernet,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,Le Bouquetou du Vernet s’accompagne d’un vin blanc tel qu’un Bandol ou un Riesling.,"['Saint Marcellin fermier IGP', 'Bleu d’Auvergne Fermier AOP', 'Buchette de Chèvre cendrée', 'St-Nectaire Fermier AOP']", Pâte lisse et blanche, odeur caprine," Gout léger, fondant en bouche avec des arômes lactés. Saveur légèrement noisetée.", pâte onctueuse qui peut crémer
Bourrichon,Vache,Molle à croûte fleurie,Bourgogne - Franche-Comté ,A déguster avec un vin rouge tel qu’un Chignin ou vin rouge de Franche-Comté.,"['Abondance AOP', 'Saint-Félicien fermier', 'Mimolette', 'Cantal AOP Entre-Deux fermier']", croûte fleurie, doux parfum boisé, Saveur de noisette, pâte tendre et souple
Bouton de culotte,Chèvre,Molle à croûte naturelle,Bourgogne - Franche-Comté,"Étant un fromage très sec, la dégustation du Bouton de Culotte se marie parfaitement avec une bouteille de Chardonay blanc ou du Bourgogne aligoté.","['Crottin de Chavignol AOP', 'Mothais sur feuille fermier', 'Rocamadour AOP Fermier', 'Chabichou du Poitou AOP']", croûte recouverte rapidement de tâches bleutées à brunes, Arômes de foin puis de sous-bois avec l’affinage, corsé, cassant et dur
Bouyguette de chèvre,Chèvre,Molle à croûte naturelle,Occitanie,"A accompagner d’un vin blanc sec, tel qu’un Corbières blanc, ou d’une bière blanche.","['Rocamadour AOP Fermier', 'Bouton de Culotte fermier', 'Bleu de Chèvre', 'Pouligny-Saint-Pierre AOP fermier']", forme de navette, Arômes lactiques, légèrement caprin et fondant en bouche, onctueux et crémeux
Brézain (Raclette fumée),Vache,"Pressée non cuite, fumée au feu de bois",Auvergne_Rhône-Alpes ,"Que ce soit en plateau, en raclette ou en fondue l’hiver, en apéritif ou en salade l’été, mais aussi en gratin, crêpes salées, croque-monsieur, pizza, quiches… toute l’année, le <strong>Brézain se déguste en toutes saisons, de mille façons</strong>. Original à plus d’un titre !, A déguster avec un vin blanc sec de Savoie : Apremont, Roussette….","['Tomme du Jura', 'Tomme Ail des Ours']", croûte marron, fumée, fin et fondant, souple et ferme 
Brie de Brebis,Brebis,Molle à croûte fleurie,,Le Brie de Brebis se déguste avec un vin blanc d’Auvergne tel qu’un St-Pourçain.,"['Brie de Meaux fermier AOP', 'Camembert de Normandie AOP', 'Brillat-Savarin IGP', 'Neufchâtel AOP']"," croûte duvetée de blanc, pâte jaune pâle", Légère odeur d’herbes, goût très légèrement salé, consistance bien souple
Brie de Chèvre,Chèvre,Molle à croûte fleurie,,Essayez un vin blanc du Gâtinais. C’est un “Val de Loire” très adapté. ,"['Bouton de Culotte fermier', 'Tomme de Brebis des Pyrénées', 'Buchette de Chèvre cendrée', 'Neufchâtel AOP']"," croûte duvetée de blanc, pâte claire", Légère odeur d’herbes, fondant en bouche sur une touche caprine délicieuse, Moelleux
Brie de Meaux AOP,Vache,Molle à croûte fleurie,Ile de France ,"Consommé en fin de repas, le Brie de Meaux peut aussi être dégusté en canapés. Il est utilisé pour dans plusieurs recettes régionales (par exemple les galettes briardes ou le croque −briard). Il s’accompagne de vins rouges fruités, comme un St-Estèphe, un côte de Beaune ou un Beaujolais. Pour ceux qui aiment tenter de nouvelles expériences, pourquoi ne pas choisir un Porto ou du champagne ? L’association est tout simplement sensationnelle.","['Camembert de Normandie AOP', 'Neufchâtel AOP', 'Brillat-Savarin IGP']", croûte parsemée de pigments rougeâtres et duveté de blanc. Pâte jaune paille., Bouquet développé, Fine saveur de noisette," consistance onctueuse, bien souple, mais non coulante"
Brie de Melun AOP,Vache,Molle à croûte fleurie,Ile de France ,"Il se consomme en fin de repas et s’accompagne de vin rouge solide mais élégant, tel qu’un Gaillac, Bourgogne, Côtes du Rhône ou encore St-Nicolas-de-Bourgueil.","['Morbier AOP 100jours', 'Saint-Félicien fermier', 'Abondance AOP', 'Camembert de Normandie AOP']", croûte duvetée de blanc. Pâte jaune., Nez équilibré entre animal et végétal., Plus fort qu’un Brie de Meaux en odeur comme en saveur avec une pointe d’amertume légèrement salée., Pâte souvent très crémeuse et souple.
Brie de Nangis,Vache,Molle à croûte fleurie,Ile de France,"Le Brie de Nangis s’accompagne de vin rouge comme le Sancerre, l’Anjou rouge, le Saint-Émilion ou encore le Fronsac. Si vous êtes plutôt vin blanc, optez pour un vin blanc sec du Rhône.","['Bleu de Gex AOP', 'Beaufort chalet alpage AOP', 'Brie de Meaux fermier AOP', 'Brillat-Savarin IGP']"," croûte duvetée de blanc, pâte jaune pâle", odeur de champignon, doux et fondant en bouche," consistance onctueuse, bien souple"
Brillat-Savarin AOP,Vache,Molle à croûte fleurie,Bourgogne - Franche-Comté ,"Il est courant d’accompagner le Brillat Savarin avec du vin rouge sec. Par exemple, un Pommard, un Saint-Nicolas-de-Bourgueil rouge, un Saumur rouge ou encore un Saint-Emilion., On peut également consommer ce fromage avec du cidre fermier. Notez cependant que la plus belle résonance du Brillat Savarin se fait avec du champagne., Attention, le Brillat Savarin se mange très frais, soit 5 jours après l’affinage. Patienter 2 à 3 semaines est idéal si l’on souhaite intensifier le goût. Au-delà de ce laps de temps, l’expérience est moins agréable.","['Saint Marcellin fermier IGP', 'Reblochon Fermier AOP entier', 'Abondance AOP', 'Camembert de Normandie AOP']", Croûte recouverte d’un fin duvet blanc où de petites pointes orange apparaissent quand il est bien affiné,  Légèrement lactique,"   Saveur douce à forte selon l’affinage, arôme lactique", Pâte ferme et onctueuse
Brillat-Savarin Truffoné,Vache,Molle à croûte fleurie,"Bourgogne - Franche-Comté, Normandie ","<span style=""line-height: 1.5; color: #000000;"">Il s’accompagne de vins rouges de Côtes du Rhône ou Chateauneuf-du-Pape blancs.</span>","['Saint Marcellin fermier IGP', 'Beaufort chalet alpage AOP', 'Neufchâtel AOP', 'Brie de Meaux fermier AOP']", Croûte recouverte d’un fin duvet blanc,  Légèrement lactique,   Croûte légèrement lactique sur un fond de bois et de noisettes avec un goût crémeux relevé par la truffe, Pâte onctueuse
Brin d’Amour,Brebis,Molle à croûte naturelle,Corse,La fleur du maquis de Corse se déguste accompagner d’un côtes du Roussillon Villages Blanc.,"['Calisson cendré de chèvre', 'Rocamadour AOP Fermier', 'Tomme de Brebis des Pyrénées', 'Crottin de Chavignol AOP']", Croûte naturelle qui est recouverte d’herbes vertes et violettes, très parfumé de ses herbes aromatiques, Saveur intense quasi envoutante, tendre et ferme à la fois
Brique de Brebis,Brebis,Molle à croûte naturelle,Occitanie ,"Pour accompagner la brique de brebis lors de la dégustation, vous pouvez choisir un vin blanc sec comme un vin labellisé IGP Côtes du Tarn : Les Granitiers, Agenais blanc, etc., Un vin blanc du vignoble de Bordeaux tel qu’un Gaillac blanc ou un Jurançon s’accordera aussi très bien avec le fromage. Dans tous les cas, pensez à sortir la brique de brebis une heure avant de la consommer afin de profiter pleinement de sa saveur.","['Saint-Félicien fermier', 'Valençay AOP fermier', 'Mothais sur feuille fermier', 'Bouton de Culotte fermier']", Pâte molle à croûte naturelle.,, Onctueux et naturel. Gout de crème.,
Briquette,Vache,Molle à croûte fleurie,Nouvelle Aquitaine ,La Briquette se déguste avec un verre de vin blanc de Bergerac.,"['Calisson cendré de chèvre', 'Valençay AOP fermier', 'Bouton de Culotte fermier', 'Pouligny-Saint-Pierre AOP fermier']", croûte naturelle de couleur blanche ou ivoire, Noisette, Caprin léger, Crémeux
Briquette aux épices,Chèvre,Molle à croûte naturelle,Occitanie ,"La briquette aux épices étant un fromage de chèvre, elle se marie très bien avec du vin blanc. De préférence, choisissez un vin du même terroir. L’Occitanie est une région viticole regroupant la plus grande densité mondiale d’appellations classées en AOP et IGP. Entre les vins du Languedoc, les vins du Roussillon et les vins du Sud-Ouest, vous trouverez forcément le mariage parfait., Suggestion : vin blanc du domaine de Bordenave, vin blanc des vignobles David, etc.",['Mothais sur feuille fermier'], une pâte molle avec un cœur fondant.,," doux et fruité, relevé par des notes d’épices.", Texture onctueuse
Briquette de brebis,Brebis,Molle à croûte naturelle,Centre-Val de Loire ,La briquette de Brebis s’accompagne très bien d’un Vin blanc sec comme un Côtes de Duras (Sud Ouest).,"['Mothais sur feuille fermier', 'Valençay AOP fermier', 'Saint Marcellin fermier IGP', 'Bouton de Culotte fermier']", Croûte blanche, Noisette, Doux avec une saveur légèrement acidulée, Ferme et tendre à la fois
Briquette de Cocumont,Chèvre,Molle à croûte naturelle,,La Briquette Fermière de Cocumont s’accompagne d’un vin blanc tel qu’un St-Chinian ou un Jurançon sec.,"['Crottin de Chavignol AOP', 'Calisson cendré de chèvre', 'Valençay AOP fermier', 'Buchette de Chèvre cendrée']"," Croûte blanche, coupe lisse", Noisette, Doux avec une saveur légèrement acidulée et prononcée sur une structure crailleuse, Pâte semi-ferme
Briquette du Cantal,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"La Briquette du Cantal peut se déguster fraiche, ou affinée de quelques semaines, si vous préférez les fromages de chèvre plus secs et plus goûtus. Elle se déguste avec un St Pourçain blanc ou rosé.","['St-Nectaire Fermier AOP', 'Tome des Bauges AOP', 'Saint-Félicien fermier', 'Chabichou du Poitou AOP']", Croûte blanche, Noisette, Caprin léger, la texture varie selon la saison et le degré d’affinage 
Briquette du Nord – Domino,Chèvre,Molle à croûte naturelle,Hauts-de-France ,La Briquette Domino se déguste avec un verre de vin blanc à caractère tel qu’un Viognier.,"['Maroilles fermier AOP 1/2', 'Chabichou du Poitou AOP', 'Mimolette', 'Crottin de Chavignol AOP']", Aspect particulier avec une moitié cendrée et une moitié blanche, Odeur légère de noisette, fort goût caprin, Très crémeux
Brousse de Brebis,Brebis,Pâte filée,Occitanie ,"A Accompagner d’un blanc sec, tel qu’un Jurançon.","['Tomme de Brebis des Pyrénées', 'Rocamadour AOP Fermier', 'Calisson cendré de chèvre', 'Bethmale']", Couleur blanche ivoire, frais, Fromage frais par excellence , texture souple et légèrement granuleuse.
Buchette blanche ou cendrée,Chèvre,Molle à croûte naturelle,Occitanie ,"La buchette (blanche ou cendrée) de la fromagerie Le Pic s’accompagne d’un Vin blanc sec, type Rivesaltes ambré, un vin blanc sec de la Vallée de la Loire ou d’un vin rouge léger et fruité.","['Bouton de Culotte fermier', 'Calisson cendré de chèvre', 'Bethmale', 'Buchette de Chèvre cendrée']"," Croûte cendré, coupe lisse", Odeur caprine," Pâte lactique dense, fondante en bouche et puissante, légèrement caprine", Texture ferme
Buchette de Chèvre cendrée,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes,"Pour bien déguster et profiter des saveurs de votre Buchette de Chèvre, il va sans dire que vous devez vous procurer le vin idéal pour l’accompagner. Ce fromage fait part d’un goût léger ainsi que d’une saveur noisettée. Dès lors, pour relever ses arômes lactés, un vin blanc sec s’avère le meilleur accord. Vous pouvez ainsi opter pour le Bandol blanc, un vin au goût fruité qui se marie parfaitement avec la Buchette. Par ailleurs, vous pouvez également opter pour un Rielsling qui est particulièrement apprécié pour sa grande finesse et ses subtils arômes fruités.","['Selles-sur-cher AOP fermier', 'Chabichou du Poitou AOP', 'Valençay AOP fermier', 'Calisson cendré de chèvre']", Pâte lisse et blanche., Arômes lactés.," Gout léger, fondant en bouche. Saveur légèrement noisetée.", Pâte molle à croute naturelle.
Buronnier de l’Aubrac,Vache,Pressée non cuite,Occitanie,Le Buronnier de l’Aubrac s’accompagne d’un vin blanc du Sud-Ouest tel qu’un Jurançon sec ou un Pacherenc du Vic-Bilh sec.,"['Tête de Moine entière', 'Saint-Félicien fermier', 'Mimolette', 'Gouda au Cumin Fermier']"," croûte grise, pâte jaune. Forme de tommette à pâte bien aérée", Parfum intense," franc, beurré et lacté", pâte souple et onctueuse
