name,milk,crust,origin,senses,pairings,similarities
Besace Fermière,Chèvre,Molle à croûte naturelle,Provenance : Auvergne_Rhône-AlpesProducteur : Cave d'Affinage de SavoieLait : Lait cru de chèvreParticularité : Fermier,"['Oeil : Croûte jaune.', 'Nez : nez floral.', 'Goût : Un peu aigre en bouche au début, mais la douceur arrive ensuite.', 'Toucher : Pâte crémeuse.']","[<p style=""text-align: justify;"">La Besace fermière s’accompagne d’un vin blanc sec de Savoie, tel qu’un Crépy ou un Seyssel.</p>]","['Buchette de Chèvre cendrée', 'Bleu de Chèvre', 'Bouton de Culotte fermier', 'Raclette Fumée']"
Bethmale,Vache,Pressée non cuite,Provenance : OccitanieLait : Lait cru de vache% Matière Grasse/Poids Total : 28 %,"['Oeil : croûte plane et fine légèrement striées, pâte aérée', 'Nez : Faible odeur de lait et de foin tirant sur le fruit jaune (pêche ananas quand il est plus affiné)', 'Goût : de prononcé à piquant', 'Toucher : pâte souple']","[<p style=""text-align: justify;"">Le Bethmale est avant tout un fromage de fin repas qui s’harmonise au mieux avec un vin de Loire, blanc ou rouge mais vous pouvez également le déguster avec un Ariège rouge ou encore un Côte du Rhône.</p>]","['Tomme de Yenne', 'Cantal AOP Entre-Deux fermier', 'Tomme de Brebis des Pyrénées', 'Tomme d’Auvergne Mitée']"
Bethmale Chèvre,Chèvre,Pressée non cuite,Provenance : Occitanie% Matière Grasse/Poids Total : 35 %Lait : Lait pasteurisé de Chèvre,"['Œil : Pâte aérée avec une croûte brune', 'Nez : Faible odeur de lait et de foin', 'Goût : Arôme délicat agrémenté de notes de chèvre. Caprin en bouche.', 'Toucher : pâte souple']","[<p style=""text-align: justify;"">Le Bethmale Chèvre se déguste avec un vin blanc fruité tel qu’un Chardonnay ou un Viognier.</p>]","['Tomme Ail des Ours', 'Bouton de Culotte fermier', 'Sainte-Maure de Touraine AOP', 'Tome des Bauges AOP']"
Bichonnet,Chèvre,Molle à croûte naturelle,Provenance : Occitanie% Matière Grasse/Poids Total : 24 %Lait : Lait cru de chèvre,"['Oeil : croûte duveté, avec une légère moisissure', 'Nez : Odeur légèrement caprine', 'Gout : Goût aux effluves lactiques et légèrement noiseté', 'Toucher : Pâte délicate, tendre et veloutée.']","[<p>Le Bichonnet se déguste onctueux (Jeune) ou sec (plusieurs semaines d’affinage), accompagné d’un vin blanc comme un Sancerre ou un Pouilly fumé.</p>]","['Buchette de Chèvre cendrée', 'Pouligny-Saint-Pierre AOP fermier', 'Chabichou du Poitou AOP', 'Crottin de Chavignol AOP']"
Bleu d’Auvergne AOP,Vache,Persillée,Provenance : Auvergne_Rhône-AlpesLabel : Appellation d'Origine Protégée AOPLait : Lait cru de vache% Matière Grasse/Poids Total : 28 %,"['Oeil : Pâte de couleur blanc à ivoire persillée de moisissures bleu vert, de façon régulière.', 'Nez : Odeur assez prononcée, témoin de sa vitalité.', 'Gout : Goût intense, équilibré, arôme de bleu.', 'Toucher : Pâte ferme et onctueuse.']","[<p style=""text-align: justify;"">Le Bleu d’Auvergne, de caractère très affirmé, alliant qualités gustatives et qualités digestives, est particulièrement apprécié en fin de repas.</p>, <p style=""text-align: justify;"">Il apporte aussi une note d’originalité à certains plats : soufflés, salades, viandes, pâtes, tartes salées et crêpes. A l’apéritif, il peut être servi sur<br/> des canapés (il est alors travaillé en pommade avec du beurre). Il se marie harmonieusement avec des vins rouges charpentés, Madiran, Gaillac, Cahors, mais aussi Bourgogne et Côtes−du−Rhône. Mais n’hésitez pas également à le marier avec des vins blancs tel qu’un Jurançon moelleux ou un Sauternes. Chaque année, on peut découvrir le Bleu d’Auvergne lors de la fête au mois d’Août à Riom−es−Montagnes (Cantal).</p>]","['Fourme d’Ambert AOP', 'Bleu de Gex AOP', 'Gorgonzola Cremoso AOP (à la cuillière)', 'Fourme de Montbrison AOP']"
Bleu de Bonneval,Vache,Persillée,Provenance : Auvergne_Rhône-AlpesProducteur : Coopérative laitière de Haute-Maurienne% Matière Grasse/Poids Total : 28 %Lait : Lait cru de vache,"['Oeil : Pâte de couleur brune à ivoire persillée de moisissures bleu vert, de façon régulière.', 'Nez : Odeur assez prononcée, témoin de sa vitalité.', 'Gout : Arôme de cave et Champignons avec un goût salé. Goût puissant très agréable en bouche', 'Toucher : Pâte ferme ou onctueuse selon la durée d’affinage.']",[<p>Le Bleu de Bonneval</p>],"['Bleu de Gex AOP', 'Bleu de Chèvre', 'Saint-Félicien fermier', 'Saint Marcellin fermier IGP']"
Bleu de brebis,Brebis,Persillée,Provenance : OccitanieParticularité : Artisanal% Matière Grasse/Poids Total : 28 %Lait : Lait thermisé de brebis,"['Oeil : Croûte régulièrement veinurée', 'Nez : Odeur soutenue', 'Gout : Doux avec une saveur vigoureuse selon l’affinage', 'Toucher : Pâte souple']","[<p style=""text-align: justify;"">Le Bleu de Brebis s’associe très bien à des viandes rouges, dans des pâtes ou dans une salade d’endives.</p>, <p>Accompagnez-le avec un Blancs doux comme un Gaillac ou un Côtes de Montravel.</p>]","['Rocamadour AOP Fermier', 'Bleu de Chèvre', 'Bleu d’Auvergne Fermier AOP', 'Bethmale']"
Bleu de chèvre,Chèvre,Persillée,Provenance : Auvergne_Rhône-Alpes% Matière Grasse/Poids Total : 24 %Lait : Lait pasteurisé de Chèvre,"['Oeil : Croûte blanche', 'Nez : Odeur de chèvre', 'Goût : Saveur Caprine prononcée, accompagnée d’un goût parfumé', 'Toucher : Texture moelleuse et tendre']","[<p>Le Bleu de Chèvre s’accompagne très bien d’un vin blanc doux, comme un Jurançon.</p>]","['Tome des Bauges AOP', 'Chabichou du Poitou AOP', 'Sainte-Maure de Touraine AOP', 'Fourme d’Ambert AOP']"
Bleu de Gex,Vache,Persillée,"Provenance : Auvergne_Rhône-Alpes, Bourgogne - Franche-ComtéLait : Lait cru de vacheLabel : Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 29 %","['Oeil : croûte sèche, entre le blanc et le jaune, légèrement farineuse, avec la présence de minuscules tâches rougeâtres. Pâte blanche à ivoire, avec des marbrures bleu−vert assez réparties sur tout le fromage.', 'Nez : Une odeur peu prononcée.', 'Goût : Une légère saveur de noisette et de champignon.', 'Toucher : Une pâte onctueuse et très légèrement friable.']","[<p style=""text-align: justify;"">C’est un fromage de fin de repas. A cause de son goût léger et subtil, il doit ouvrir le plateau de fromages.</p>, <p style=""text-align: justify;"">Ses meilleures saisons sont l’été, l’automne et l’hiver.</p>, <p style=""text-align: justify;"">Ce fromage s’accommode de vins rouges de Bordeaux, de Côtes du Rhône, ainsi que de vins rouges et rosés du Jura.</p>]","['Fourme d’Ambert AOP', 'Bleu d’Auvergne Fermier AOP', 'Fourme de Montbrison AOP', 'Bleu de Chèvre']"
Bleu de la Chataigneraie,Vache,Persillée,Provenance : Auvergne_Rhône-AlpesLait : Lait cru de vacheProducteur : GAEC Cantournet,"['Oeil : Pâte de couleur brune claire persillée de moisissures bleu vert.', 'Nez : Odeur assez prononcée.', 'Gout : Goût parfumé aux arômes de Champignons sauvages, de crème et de sous-bois.', 'Toucher : Pâte ferme.']",[<p>Le Bleu de la Chataigneraie se marie très bien avec un vin blanc moelleux tel qu’un Monbazillac ou un vin blanc doux du sud-ouest.</p>],"['Saint-Félicien fermier', 'Tomme de Yenne', 'Buchette de Chèvre cendrée', 'Abondance AOP']"
Bleu de laqueuille,Vache,Persillée,Provenance : Auvergne_Rhône-AlpesProducteur : Sté Laitière de LaqueuilleLait : Lait pasteurisé de Vache,"['Oeil : Couleur crème, avec un persillage bleu-vert.', 'Nez : Odeur pénétrante et franche.', 'Goût : Légèrement salée avec un goût doux et délicat.', 'Toucher : Pâte souple et onctueuse.']",[<p>Le Bleu de Laqueuille peut s’accompagner d’un St-Estéphe rouge ou d’un blanc doux tel qu’un Gaillac.</p>],"['Raclette Fumée', 'Saint-Félicien fermier', 'Bleu d’Auvergne Fermier AOP', 'Bleu de Gex AOP']"
Bleu de Planèze,Vache,Persillée,Provenance : Auvergne_Rhône-Alpes% Matière Grasse/Poids Total : 33 %Lait : Lait pasteurisé de VacheParticularité : Affinage entre 3 et 6 Mois,"['Oeil : Pâte ocre et persillage bleu/vert', 'Nez : Odeur légèrement terreuse sur un fond de champignon', 'Goût : Puissant goût, mais sans amertume', 'Toucher : Onctueux et doux']","[<p style=""text-align: justify;"">Le Bleu de Planèze s’accompagne très bien d’un blanc moelleux d’Alsace comme un Riesling.</p>]","['Camembert de Normandie AOP', 'Raclette Fumée', 'Bleu d’Auvergne Fermier AOP', 'Reblochon Fermier AOP entier']"
Bleu des Bauges,Vache,Persillée,Provenance : Auvergne_Rhône-AlpesProducteur : Fromagerie de Chambery% Matière Grasse/Poids Total : 29 %Lait : Lait cru de vache,"['Oeil : Croûte grisâtre, pâte ivoire.', 'Goût : Fondant et long en bouche, avec une pointe salée. Doux et fruité.']","[<p>Le Bleu des Bauges, étant un fromage à pâte persillée, se consomme idéalement avec des vins doux naturels pour mieux apprécier son gras. En ce sens, les <span data-sheets-userformat='{""2"":12797,""3"":{""1"":0,""3"":1},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":1,""10"":1,""11"":4,""15"":""Calibri"",""16"":12}' data-sheets-value='{""1"":2,""2"":""Côtes du Rhône blanc comme un Château Sixtine""}'>Côtes du Rhône blancs comme le Château Sixtine, frais et faciles à déguster, sont à privilégier pour une expérience gustative savoureuse. </span></p>]","['Brillat-Savarin IGP', 'Tome des Bauges AOP', 'Bleu de Chèvre', 'Saint Marcellin fermier IGP']"
Bleu des Causses AOP,Vache,Persillée,"Provenance : OccitanieLabel : Appellation d'Origine Contrôlée AOC, Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 29 %Lait : Lait pasteurisé de VacheParticularité : Affinage entre 3 et 6 Mois","['Oeil : Pâte moyennement veinée de bleu ; en été, de couleur jaune ivoire et luisante ; en hiver, plus blanche et moins humide', 'Nez : Odeur agréable et soutenue', 'Gout : Du caractère, avec une saveur plus vigoureuse en hiver', 'Toucher : Pâte consistante, onctueuse et grasse']","[<p>Le Bleu des Causses s’accorde à de nombreux vins, mais on préfère le consommer avec des vins doux naturels. Sur ce point, on peut citer le Grand Roussillon rancio ou le Maury ambré hors d’âge.</p>, <p>Les vins liquoreux s’harmonisent aussi agréablement avec le Bleu des Causses. En guise d’exemple, on a le Côte de Bergerac moelleux, le Sauternes ou le Monbazillac.</p>]","['Herve à la Bière', 'Morbier AOP 100jours', 'Cantal AOP Entre-Deux fermier', 'Bleu de Chèvre']"
Bleu du Val d’Aillon,Vache,Pressée non cuite persillée,Provenance : Auvergne_Rhône-Alpes% Matière Grasse/Poids Total : 25 %Lait : Lait cru de vache,"['Oeil : Croûte doré', 'Nez : Odeur de bleu', 'Goût : Goût salé, puissant et persistant en bouche', 'Toucher : Texture fondante comme du beurre']","[<p>Le Bleu du Val d’Aillon s’accompagne très bien d’un vin blanc doux, tel qu’un Monbazillac.</p>]","['Fourme d’Ambert AOP', 'Abondance AOP', 'Brillat-Savarin IGP', 'Bleu de Chèvre']"
Bleu du Vercors-Sassenage,Vache,Persillée,Provenance : Auvergne_Rhône-AlpesLabel : Appellation d'Origine Protégée AOPLait : Lait thermisé de vache% Matière Grasse/Poids Total : 32 %,"['Oeil : Croûte lisse et doré', 'Nez : légère odeur de moisissure', 'Goût : Goût de Bleu assez peu prononcé avec un peu d’amertume', 'Toucher : Pâte souple et moelleuse']","[<p>Le Bleu du Vercors-Sassenage s’accorde parfaitement avec les vins doux pour préserver sa légèreté. En fonction de vos penchants, le Sauternes, le Jurançon moelleux ou le Pinot gris vendange tardive vous assurent une expérience gustative particulièrement savoureuse.</p>]","['Bleu de Gex AOP', 'Fourme de Montbrison AOP', 'Fourme d’Ambert AOP', 'Gorgonzola Cremoso AOP (à la cuillière)']"
Bleu fermier de Haute Savoie,Vache,Persillée,Provenance : Auvergne_Rhône-Alpes% Matière Grasse/Poids Total : 25 %Lait : Lait cru de vache,"['Oeil : Croûte marron / doré', 'Nez : légère odeur de moisissure', 'Goût : Goût salé, puissant et persistant en bouche', 'Toucher : Pâte ferme']",[<p>Accompagnez le Bleu du Vercors avec un vin blanc sec tel qu’un Apremont ou un vin rouge léger.</p>],"['Bleu de Gex AOP', 'Camembert de Normandie AOP', 'Bethmale', 'Pont l’Evêque AOP entier']"
Bonde de Neufchâtel,Vache,Molle à croûte fleurie,Provenance : NormandieProducteur : Fromagerie Jubert% Matière Grasse/Poids Total : 25 %Lait : Lait cru de vache,"['Nez : Légère odeur de moisissure.', 'Goût : Pâte lisse et moelleuse.', 'Toucher : Pâte molle à croûte fleurie.']","[<p>La Bonde de Neufchâtel possède une bonne affinité avec les vins rouges. La Syrah rouge, emblème de la partie septentrionale des Côtes-du-rhône, est par exemple parfaite pour accompagner ce fromage. Ses saveurs tanniques, mais peu acides ainsi que ses notes fruitées s’accordent à merveille avec le goût lacté et doux de la Bonde. Au même titre que ce vin, Madiran et Cahors vont aussi de pair avec la Bonde.</p>]","['Neufchâtel AOP', 'Camembert de Normandie AOP', 'Brie de Meaux fermier AOP']"
Bouquetou du Vernet,Chèvre,Molle à croûte naturelle,Provenance : Auvergne_Rhône-AlpesLait : Lait cru de chèvreProducteur : Ferme du Vernet,"['Oeil : Pâte lisse et blanche', 'Nez : odeur caprine', 'Gout : Goût léger, fondant en bouche avec des arômes lactés. Saveur légèrement noisetée.', 'Toucher : pâte onctueuse qui peut crémer']",[<p>Le Bouquetou du Vernet s’accompagne d’un vin blanc tel qu’un Bandol ou un Riesling.</p>],"['Saint Marcellin fermier IGP', 'Bleu d’Auvergne Fermier AOP', 'Buchette de Chèvre cendrée', 'St-Nectaire Fermier AOP']"
Bourrichon,Vache,Molle à croûte fleurie,Provenance : Bourgogne - Franche-ComtéProducteur : Fromagerie BadozLait : Lait pasteurisé de Vache% Matière Grasse/Poids Total : 23 %,"['Œil : croûte fleurie', 'Nez : doux parfum boisé', 'Gout : Saveur de noisette', 'Toucher : pâte tendre et souple']",[<p>A déguster avec un vin rouge tel qu’un Chignin ou vin rouge de Franche-Comté.</p>],"['Abondance AOP', 'Saint-Félicien fermier', 'Mimolette', 'Cantal AOP Entre-Deux fermier']"
Bouton de culotte,Chèvre,Molle à croûte naturelle,Provenance : Bourgogne - Franche-Comté% Matière Grasse/Poids Total : 26 %Lait : Lait cru de chèvre,"['Oeil : croûte recouverte rapidement de tâches bleutées à brunes', 'Nez : Arômes de foin puis de sous-bois avec l’affinage', 'Goût : corsé', 'Toucher : cassant et dur']","[<p>Étant un fromage très sec, la dégustation du Bouton de Culotte se marie parfaitement avec une bouteille de Chardonay blanc ou du Bourgogne aligoté.</p>]","['Crottin de Chavignol AOP', 'Mothais sur feuille fermier', 'Rocamadour AOP Fermier', 'Chabichou du Poitou AOP']"
Bouyguette de chèvre,Chèvre,Molle à croûte naturelle,Provenance : Occitanie% Matière Grasse/Poids Total : 18 %Lait : Lait cru de chèvre,"['Oeil : forme de navette', 'Nez : Arômes lactiques', 'Goût : légèrement caprin et fondant en bouche', 'Toucher : onctueux et crémeux']","[<p style=""text-align: justify;"">A accompagner d’un vin blanc sec, tel qu’un Corbières blanc, ou d’une bière blanche.</p>]","['Rocamadour AOP Fermier', 'Bouton de Culotte fermier', 'Bleu de Chèvre', 'Pouligny-Saint-Pierre AOP fermier']"
Brézain (Raclette fumée),Vache,"Pressée non cuite, fumée au feu de bois",Provenance : Auvergne_Rhône-AlpesLait : Lait cru de vache% Matière Grasse/Poids Total : 26 %,"['Œil : croûte marron', 'Nez : fumée', 'Gout : fin et fondant', 'Toucher : souple et ferme ']","[<p style=""text-align: justify;"">Que ce soit en plateau, en raclette ou en fondue l’hiver, en apéritif ou en salade l’été, mais aussi en gratin, crêpes salées, croque-monsieur, pizza, quiches… toute l’année, le <strong>Brézain se déguste en toutes saisons, de mille façons</strong>. Original à plus d’un titre !</p>, <p style=""text-align: justify;"">A déguster avec un vin blanc sec de Savoie : Apremont, Roussette….</p>]","['Tomme du Jura', 'Tomme Ail des Ours']"
Brie de Brebis,Brebis,Molle à croûte fleurie,,"['Oeil : croûte duvetée de blanc, pâte jaune pâle', 'Nez : Légère odeur d’herbes', 'Gout : goût très légèrement salé', 'Toucher : consistance bien souple']",[<p>Le Brie de Brebis se déguste avec un vin blanc d’Auvergne tel qu’un St-Pourçain.</p>],"['Brie de Meaux fermier AOP', 'Camembert de Normandie AOP', 'Brillat-Savarin IGP', 'Neufchâtel AOP']"
Brie de Chèvre,Chèvre,Molle à croûte fleurie,,"['Œil : croûte duvetée de blanc, pâte claire', 'Nez : Légère odeur d’herbes', 'Gout : fondant en bouche sur une touche caprine délicieuse', 'Toucher : Moelleux']",[<p>Essayez un vin blanc du Gâtinais. C’est un “Val de Loire” très adapté. </p>],"['Bouton de Culotte fermier', 'Tomme de Brebis des Pyrénées', 'Buchette de Chèvre cendrée', 'Neufchâtel AOP']"
Brie de Meaux AOP,Vache,Molle à croûte fleurie,"Provenance : Ile de FranceLabel : Appellation d'Origine Contrôlée AOC, Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 21 %Lait : Lait cru de vache","['Oeil : croûte parsemée de pigments rougeâtres et duveté de blanc. Pâte jaune paille.', 'Nez : Bouquet développé', 'Gout : Fine saveur de noisette', 'Toucher : consistance onctueuse, bien souple, mais non coulante']","[<p>Consommé en fin de repas, le Brie de Meaux peut aussi être dégusté en canapés. Il est utilisé pour dans plusieurs recettes régionales (par exemple les galettes briardes ou le croque −briard). Il s’accompagne de vins rouges fruités, comme un St-Estèphe, un côte de Beaune ou un Beaujolais. Pour ceux qui aiment tenter de nouvelles expériences, pourquoi ne pas choisir un Porto ou du champagne ? L’association est tout simplement sensationnelle.</p>]","['Camembert de Normandie AOP', 'Neufchâtel AOP', 'Brillat-Savarin IGP']"
Brie de Melun AOP,Vache,Molle à croûte fleurie,"Provenance : Ile de FranceProducteur : Fromagerie du DolloirLabel : Appellation d'Origine Contrôlée AOC, Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 22 %Lait : Lait cru de vache","['Oeil : croûte duvetée de blanc. Pâte jaune.', 'Nez : Nez équilibré entre animal et végétal.', 'Goût : Plus fort qu’un Brie de Meaux en odeur comme en saveur avec une pointe d’amertume légèrement salée.', 'Toucher : Pâte souvent très crémeuse et souple.']","[<p>Il se consomme en fin de repas et s’accompagne de vin rouge solide mais élégant, tel qu’un Gaillac, Bourgogne, Côtes du Rhône ou encore St-Nicolas-de-Bourgueil.</p>]","['Morbier AOP 100jours', 'Saint-Félicien fermier', 'Abondance AOP', 'Camembert de Normandie AOP']"
Brie de Nangis,Vache,Molle à croûte fleurie,Provenance : Ile de France% Matière Grasse/Poids Total : 20 %Lait : Lait cru de vache,"['Oeil : croûte duvetée de blanc, pâte jaune pâle', 'Nez : odeur de champignon', 'Gout : doux et fondant en bouche', 'Toucher : consistance onctueuse, bien souple']","[<p>Le Brie de Nangis s’accompagne de vin rouge comme le Sancerre, l’Anjou rouge, le Saint-Émilion ou encore le Fronsac. Si vous êtes plutôt vin blanc, optez pour un vin blanc sec du Rhône.</p>]","['Bleu de Gex AOP', 'Beaufort chalet alpage AOP', 'Brie de Meaux fermier AOP', 'Brillat-Savarin IGP']"
